epoch,step,train/loss,train/loss_affinity,val/loss,val/pearson,val/rmse,val_rmse
0,0,42.1063117980957,42.1063117980957,,,,
0,1,46.98126983642578,46.98126983642578,,,,
0,2,29.024024963378906,29.024024963378906,,,,
0,3,31.497514724731445,31.497514724731445,,,,
0,4,35.0980110168457,35.0980110168457,,,,
0,5,29.091276168823242,29.091276168823242,,,,
0,6,36.730010986328125,36.730010986328125,,,,
0,7,42.22968673706055,42.22968673706055,,,,
0,8,21.97021484375,21.97021484375,,,,
0,9,22.426467895507812,22.426467895507812,,,,
0,10,27.33287811279297,27.33287811279297,,,,
0,11,31.658906936645508,31.658906936645508,,,,
0,12,25.358150482177734,25.358150482177734,,,,
0,13,13.306595802307129,13.306595802307129,,,,
0,14,14.995970726013184,14.995970726013184,,,,
0,14,,,24.481426239013672,0.07431455701589584,4.960047245025635,4.960047245025635
1,15,24.265121459960938,24.265121459960938,,,,
1,16,24.181673049926758,24.181673049926758,,,,
1,17,30.92487907409668,30.92487907409668,,,,
1,18,14.951765060424805,14.951765060424805,,,,
1,19,22.540634155273438,22.540634155273438,,,,
1,20,26.18286895751953,26.18286895751953,,,,
1,21,9.103641510009766,9.103641510009766,,,,
1,22,17.80240249633789,17.80240249633789,,,,
1,23,19.62624740600586,19.62624740600586,,,,
1,24,15.323583602905273,15.323583602905273,,,,
1,25,28.348655700683594,28.348655700683594,,,,
1,26,8.958297729492188,8.958297729492188,,,,
1,27,17.346982955932617,17.346982955932617,,,,
1,28,6.919620513916016,6.919620513916016,,,,
1,29,14.996520042419434,14.996520042419434,,,,
1,29,,,16.8182373046875,0.16276225447654724,4.112439155578613,4.112439155578613
2,30,12.415477752685547,12.415477752685547,,,,
2,31,15.7247314453125,15.7247314453125,,,,
2,32,21.417652130126953,21.417652130126953,,,,
2,33,5.919854164123535,5.919854164123535,,,,
2,34,13.15436840057373,13.15436840057373,,,,
2,35,23.48077392578125,23.48077392578125,,,,
2,36,7.372406482696533,7.372406482696533,,,,
2,37,8.715313911437988,8.715313911437988,,,,
2,38,13.586112976074219,13.586112976074219,,,,
2,39,13.141687393188477,13.141687393188477,,,,
2,40,10.368317604064941,10.368317604064941,,,,
2,41,14.607820510864258,14.607820510864258,,,,
2,42,6.020449638366699,6.020449638366699,,,,
2,43,12.086033821105957,12.086033821105957,,,,
2,44,6.5841803550720215,6.5841803550720215,,,,
2,44,,,11.330331802368164,0.2247275710105896,3.3765010833740234,3.3765010833740234
3,45,6.244996547698975,6.244996547698975,,,,
3,46,4.755192756652832,4.755192756652832,,,,
3,47,5.029066562652588,5.029066562652588,,,,
3,48,13.656206130981445,13.656206130981445,,,,
3,49,14.747143745422363,14.747143745422363,,,,
3,50,2.443143129348755,2.443143129348755,,,,
3,51,13.4548978805542,13.4548978805542,,,,
3,52,8.712056159973145,8.712056159973145,,,,
3,53,15.509051322937012,15.509051322937012,,,,
3,54,2.8115549087524414,2.8115549087524414,,,,
3,55,8.963046073913574,8.963046073913574,,,,
3,56,10.203970909118652,10.203970909118652,,,,
3,57,2.568150520324707,2.568150520324707,,,,
3,58,5.32414436340332,5.32414436340332,,,,
3,59,10.138158798217773,10.138158798217773,,,,
3,59,,,7.509583473205566,0.2821635603904724,2.7490081787109375,2.7490081787109375
4,60,4.7194905281066895,4.7194905281066895,,,,
4,61,5.74566650390625,5.74566650390625,,,,
4,62,4.4883599281311035,4.4883599281311035,,,,
4,63,3.931075096130371,3.931075096130371,,,,
4,64,4.886223316192627,4.886223316192627,,,,
4,65,4.223169326782227,4.223169326782227,,,,
4,66,8.893692016601562,8.893692016601562,,,,
4,67,5.076845169067383,5.076845169067383,,,,
4,68,3.99418568611145,3.99418568611145,,,,
4,69,5.136348247528076,5.136348247528076,,,,
4,70,13.309374809265137,13.309374809265137,,,,
4,71,1.660508155822754,1.660508155822754,,,,
4,72,4.039552688598633,4.039552688598633,,,,
4,73,3.602370262145996,3.602370262145996,,,,
4,74,7.761673450469971,7.761673450469971,,,,
4,74,,,5.312515735626221,0.246926948428154,2.3108162879943848,2.3108162879943848
5,75,5.482207775115967,5.482207775115967,,,,
5,76,2.1313061714172363,2.1313061714172363,,,,
5,77,2.7073891162872314,2.7073891162872314,,,,
5,78,4.63561487197876,4.63561487197876,,,,
5,79,3.7293078899383545,3.7293078899383545,,,,
5,80,7.402057647705078,7.402057647705078,,,,
5,81,2.043912410736084,2.043912410736084,,,,
5,82,8.138306617736816,8.138306617736816,,,,
