epoch,step,train/loss,train/loss_affinity,train/loss_pose,train/loss_selectivity,train/loss_total,train/sigma_aff,train/sigma_pose,train/sigma_sel,val/loss,val/pearson,val/pose_auc,val/rmse,val_rmse
0,0,41.95588684082031,40.57516098022461,0.6872040033340454,0.6935244202613831,41.95588684082031,1.0,1.0,1.0,,,,,
0,1,37.94525909423828,36.57056427001953,0.6887381076812744,0.6968958377838135,37.94525909423828,1.0001499652862549,1.0001499652862549,1.0001499652862549,,,,,
0,2,50.79487991333008,49.36475372314453,0.7498734593391418,0.7097750306129456,50.79487991333008,1.0002994537353516,1.0003000497817993,1.0003000497817993,,,,,
0,3,26.066831588745117,24.687257766723633,0.6838583946228027,0.7177990078926086,26.066831588745117,1.0004494190216064,1.0004502534866333,1.0004504919052124,,,,,
0,4,38.06241226196289,36.687889099121094,0.7004674673080444,0.7174723148345947,38.06241226196289,1.0005935430526733,1.0005993843078613,1.0006011724472046,,,,,
0,5,42.76991271972656,41.383541107177734,0.7312892079353333,0.7160786390304565,42.76991271972656,1.0007386207580566,1.000748634338379,1.0007520914077759,,,,,
0,6,30.101226806640625,28.737817764282227,0.6981608867645264,0.7159259915351868,30.101226806640625,1.0008853673934937,1.000898838043213,1.0009031295776367,,,,,
0,7,16.796390533447266,15.5458402633667,0.5860646963119507,0.6960216164588928,16.796390533447266,1.0010299682617188,1.0010485649108887,1.001054286956787,,,,,
0,8,32.886817932128906,31.558313369750977,0.7249074578285217,0.6769271492958069,32.886817932128906,1.0011671781539917,1.0011905431747437,1.0012046098709106,,,,,
0,9,42.07579040527344,40.811058044433594,0.7046844363212585,0.6660748720169067,42.07579040527344,1.0013054609298706,1.0013349056243896,1.0013536214828491,,,,,
0,10,20.59412384033203,19.319766998291016,0.6638247966766357,0.6658467054367065,20.59412384033203,1.0014468431472778,1.0014803409576416,1.0015008449554443,,,,,
0,11,24.59044075012207,23.297969818115234,0.7165015339851379,0.6491953134536743,24.59044075012207,1.0015838146209717,1.0016247034072876,1.001646876335144,,,,,
0,12,33.10211944580078,31.731273651123047,0.839767575263977,0.6398539543151855,33.10211944580078,1.0017188787460327,1.0017706155776978,1.0017907619476318,,,,,
0,13,20.87741470336914,19.641616821289062,0.6572926640510559,0.6505059003829956,20.87741470336914,1.0018553733825684,1.0019207000732422,1.0019325017929077,,,,,
0,14,42.81944274902344,41.53630828857422,0.8203561902046204,0.6273286938667297,42.81944274902344,1.0019885301589966,1.002068042755127,1.002073049545288,,,,,
0,14,,,,,,,,,29.308185577392578,-0.1497904658317566,0.5357142686843872,5.3118486404418945,5.3118486404418945
1,15,24.289081573486328,23.040895462036133,0.7227011919021606,0.6225447654724121,24.289081573486328,1.0021262168884277,1.0022190809249878,1.0022112131118774,,,,,
